腹围			
孕周	最小值（单位：cm）	平均值（单位：cm）	最大值（单位：cm）
孕13周	5.25	6.9	8.55
孕14周	5.95	7.77	9.59
孕15周	7.57	9.13	10.69
孕16周	8.40 	10.32 	12.24 
孕17周	9.87 	11.49 	13.11 
孕18周	10.52 	12.41 	14.30 
孕19周	11.29 	13.59 	15.89 
孕20周	12.91 	14.80 	16.69 
孕21周	13.78 	15.62 	17.46 
孕22周	14.47 	16.70 	18.93 
孕23周	16.05 	17.90 	19.75 
孕24周	16.51 	18.74 	20.97 
孕25周	17.44 	19.64 	21.84 
孕26周	19.32 	21.62 	23.92 
孕27周	19.69 	21.81 	23.93 
孕28周	20.45 	22.86 	25.27 
孕29周	22.21 	23.71 	25.21 
孕30周	22.85 	24.88 	26.91 
孕31周	23.46 	25.78 	28.10 
孕32周	23.87 	26.20 	28.53 
孕33周	25.48 	27.78 	30.08 
孕34周	25.44 	27.99 	30.54 
孕35周	25.86 	28.74 	31.62 
孕36周	26.61 	29.44 	32.27 
孕37周	27.97 	30.14 	32.31 
孕38周	28.00 	30.63 	33.26 
孕39周	28.22 	31.34 	34.46 
孕40周	28.70 	31.49 	34.28 
