双顶径			
孕周	最小值（单位：cm）	平均值（单位：cm）	最大值（单位：cm）
孕13周	2.27 	2.52 	2.77 
孕14周	2.26 	2.83 	3.40 
孕15周	2.72 	3.23 	3.74 
孕16周	3.04 	3.62 	4.20 
孕17周	3.53 	3.97 	4.41 
孕18周	3.72 	4.25 	4.78 
孕19周	3.99 	4.52 	5.05 
孕20周	4.30 	4.88 	5.46 
孕21周	4.80 	5.22 	5.64 
孕22周	4.88 	5.45 	6.02 
孕23周	5.36 	5.80 	6.24 
孕24周	5.55 	6.05 	6.55 
孕25周	5.69 	6.39 	7.09 
孕26周	6.07 	6.68 	7.29 
孕27周	6.41 	6.98 	7.55 
孕28周	6.59 	7.24 	7.89 
孕29周	6.85 	7.50 	8.15 
孕30周	7.21 	7.83 	8.45 
孕31周	7.46 	8.06 	8.66 
孕32周	7.52 	8.17 	8.82 
孕33周	8.03 	8.50 	8.97 
孕34周	7.98 	8.61 	9.24 
孕35周	8.15 	8.70 	9.25 
孕36周	8.24 	8.81 	9.38 
孕37周	8.37 	9.00 	9.63 
孕38周	8.49 	9.08 	9.67 
孕39周	8.62 	9.21 	9.80 
孕40周	8.78 	9.28 	9.78 
