股骨长			
孕周	最小值（单位：cm）	平均值（单位：cm）	最大值（单位：cm）
孕13周	0.86	1.17	1.48
孕14周	0.9	1.38	1.86
孕15周	1.16	1.74	2.32
孕16周	1.59	2.1	2.61
孕17周	2.08	2.52	2.96
孕18周	2.25	2.71	3.17
孕19周	2.53	3.03	3.53
孕20周	2.88	3.35	3.82
孕21周	3.24	3.64	4.04
孕22周	3.35	3.82	4.29
孕23周	3.8	4.21	4.62
孕24周	3.85	4.36	4.87
孕25周	4.23	4.65	5.07
孕26周	4.46	4.87	5.28
孕27周	4.69	5.1	5.51
孕28周	4.8	5.35	5.9
孕29周	5.17	5.61	6.05
孕30周	5.3	5.77	6.24
孕31周	5.65	6.03	6.41
孕32周	5.94	6.43	6.92
孕33周	6.06	6.52	6.98
孕34周	6.19	6.62	7.05
孕35周	6.26	6.71	7.16
孕36周	6.48	6.95	7.42
孕37周	6.58	7.1	7.62
孕38周	6.77	7.2	7.63
孕39周	6.81	7.34	7.87
孕40周	6.87	7.4	7.93
