头围			
孕周	最小值（单位：cm）	平均值（单位：cm）	最大值（单位：cm）
孕13周	5.7	7.2 	8.7 
孕14周	7.4	8.9 	10.4 
孕15周	9	10.5 	12.0 
孕16周	10.5	12.0 	13.5 
孕17周	12	13.5 	15.0 
孕18周	12.9	14.9 	16.9 
孕19周	14.2	16.2 	18.2 
孕20周	15.5	17.5 	19.5 
孕21周	16.7	18.7 	20.7 
孕22周	17.8	19.8 	21.8 
孕23周	18.9	20.9 	22.9 
孕24周	20	22.0 	24.0 
孕25周	21	23.0 	25.0 
孕26周	21.9	23.9 	25.9 
孕27周	22.9	24.9 	26.9 
孕28周	23.8	25.8 	27.8 
孕29周	24.1	26.6 	29.1 
孕30周	25	27.5 	30.0 
孕31周	25.8	28.3 	30.8 
孕32周	26.5	29.0 	31.5 
孕33周	27.3	29.8 	32.3 
孕34周	28	30.5 	33.0 
孕35周	28.7	31.2 	33.7 
孕36周	29.4	31.9 	34.4 
孕37周	30.1	32.6 	35.1 
孕38周	30.8	33.3 	35.8 
孕39周	31.4	33.9 	36.4 
孕40周	32	34.5 	37.0 
