肱骨长			
孕周	最小值（单位：mm）	平均值（单位：mm）	最大值（单位：mm）
孕13周	8	11.0 	14.0 
孕14周	10	14.0 	18.0 
孕15周	11.5	17.0 	22.5 
孕16周	17	21.0 	25.0 
孕17周	20	25.0 	30.0 
孕18周	21.5	27.0 	32.5 
孕19周	24	29.0 	34.0 
孕20周	26	31.0 	36.0 
孕21周	26	32.0 	38.0 
孕22周	29	35.0 	41.0 
孕23周	34	38.0 	42.0 
孕24周	34	40.0 	46.0 
孕25周	38	43.0 	48.0 
孕26周	40	44.0 	48.0 
孕27周	43	47.0 	51.0 
孕28周	45	50.0 	55.0 
孕29周	46	51.0 	56.0 
孕30周	47	52.0 	57.0 
孕31周	49	54.0 	59.0 
孕32周	51	56.0 	61.0 
孕33周	51	57.0 	63.0 
孕34周	53.5	59.0 	64.5 
孕35周	54	60.0 	66.0 
孕36周	57	62.0 	67.0 
孕37周	57	63.0 	69.0 
孕38周	58	64.0 	70.0 
孕39周	59.5	65.0 	70.5 
孕40周	60	66.0 	72.0 
