枕额径			
孕周	最小值（单位：mm）	平均值（单位：mm）	最大值（单位：mm）
孕13周	26	29.0 	32.0 
孕14周	31	34.0 	37.0 
孕15周	35	38.0 	41.0 
孕16周	43	46.0 	49.0 
孕17周	47	50.0 	53.0 
孕18周	50.5	54.0 	57.5 
孕19周	53.5	57.0 	60.5 
孕20周	57.5	61.0 	64.5 
孕21周	59	63.0 	67.0 
孕22周	64.5	68.0 	71.5 
孕23周	72	76.0 	80.0 
孕24周	75	79.0 	83.0 
孕25周	77.5	82.0 	86.5 
孕26周	79.5	84.0 	88.5 
孕27周	81.5	86.0 	90.5 
孕28周	90	95.0 	100.0 
孕29周	91.5	97.0 	102.5 
孕30周	92.5	98.0 	103.5 
孕31周	96	101.0 	106.0 
孕32周	97	102.0 	107.0 
孕33周	101.5	107.0 	112.5 
孕34周	102.5	108.0 	113.5 
孕35周	103.5	109.0 	114.5 
孕36周	106.5	112.0 	117.5 
孕37周	107	113.0 	119.0 
孕38周	110.5	116.0 	121.5 
孕39周	113	119.0 	125.0 
孕40周	114	120.0 	126.0 
