虚岁	1	2	3	4	5	6	7	8	9	10	11	12
18	女	男	女	男	男	男	男	男	男	男	男	男
19	男	女	男	女	女	男	男	男	男	男	女	女
20	女	男	女	男	男	男	男	男	男	女	男	男
21	男	女	女	女	女	女	女	女	女	女	女	女
22	女	男	男	女	男	女	女	男	女	女	女	女
23	男	男	女	男	男	女	男	女	男	男	男	女
24	男	女	男	男	女	男	男	女	女	女	女	女
25	女	男	男	女	女	男	女	男	男	男	男	男
26	男	女	男	女	女	男	女	男	女	女	女	女
27	女	男	女	男	女	女	男	男	男	男	女	男
28	男	女	男	女	女	女	男	男	男	男	女	女
29	女	男	女	女	男	男	男	男	男	女	女	女
30	男	女	女	女	女	女	女	女	女	女	男	男
31	男	女	男	女	女	女	女	女	女	女	女	男
32	男	女	男	女	女	女	女	女	女	女	女	男
33	女	男	女	男	女	女	女	男	女	女	女	男
34	男	女	男	女	女	女	女	女	女	女	男	男
35	男	男	女	男	女	女	女	男	女	女	男	男
36	女	男	男	女	男	女	女	女	男	男	男	男
37	男	女	男	男	女	男	女	男	女	男	女	男
38	女	男	女	男	男	女	男	女	男	女	男	女
39	男	女	男	男	男	女	女	男	女	男	女	女
40	女	男	女	男	女	男	男	女	男	女	男	女
41	男	女	男	女	男	女	男	男	女	男	女	男
42	女	男	女	男	女	男	女	男	男	女	男	女
43	男	女	男	女	男	女	男	女	男	男	男	男
44	男	男	女	男	男	男	女	男	女	男	女	女
45	女	男	男	女	女	女	男	女	男	女	男	男
